user_id,loan_status,age,bank_cards_count,remote_transaction_months,internet_transaction_avg,financial_transaction_months,financial_transaction_avg_amount,max_loan_amount_180_days,min_loan_amount_180_days,apply_loan_company_number,created_at,updated_at
29,Fully Paid,,7.0,,,24.0,8695.2442456326,7200.0,7200.0,2.0,2015-12-01,Dec-2018
30,Current,,21.0,,,,22474.46,25000.0,25000.0,0.0,2015-12-01,Feb-2019
31,Fully Paid,,10.0,,,17.0,7881.3600455155,7000.0,7000.0,1.0,2015-12-01,Jan-2019
32,Charged Off,,12.0,,,,7381.99,9000.0,9000.0,0.0,2015-12-01,Oct-2017
33,Fully Paid,,20.0,,,1.0,32627.790006144704,30000.0,30000.0,2.0,2015-12-01,Nov-2016
34,Fully Paid,,7.0,,,,5231.3272208036,4500.0,4500.0,0.0,2015-12-01,Oct-2018
35,Charged Off,,11.0,,,36.0,15502.76,12225.0,12225.0,2.0,2015-12-01,Sep-2017
36,Fully Paid,,14.0,,,,10456.36,10000.0,10000.0,2.0,2015-12-01,Aug-2016
37,Charged Off,,7.0,,,73.0,2361.22,3825.0,3825.0,2.0,2015-12-01,May-2017
38,Fully Paid,,16.0,,,58.0,12382.387906171,9600.0,9600.0,0.0,2015-12-01,Jan-2019
39,Fully Paid,,13.0,,,,4447.1562058555,3900.0,3900.0,1.0,2015-12-01,May-2018
40,Charged Off,,33.0,,,71.0,12220.06,15000.0,15000.0,1.0,2015-12-01,Dec-2017
41,Current,,15.0,,,45.0,33454.31,30000.0,30000.0,2.0,2015-12-01,Mar-2019
42,Current,,10.0,,,,13238.59,14000.0,14000.0,0.0,2015-12-01,Mar-2019
43,Fully Paid,,4.0,,,,30316.4422198885,28000.0,28000.0,0.0,2015-12-01,Dec-2018
44,Charged Off,,33.0,,,,10757.03,30000.0,30000.0,1.0,2015-12-01,Sep-2016
45,Fully Paid,,12.0,,,43.0,10701.4400000022,10000.0,10000.0,0.0,2015-12-01,Aug-2016
46,Fully Paid,,14.0,,,24.0,20966.1668259433,19000.0,19000.0,1.0,2015-12-01,Dec-2017
47,Fully Paid,,11.0,,,,28521.3720275005,21000.0,21000.0,0.0,2015-12-01,Apr-2018
48,Fully Paid,,12.0,,,78.0,18006.6360999914,15000.0,15000.0,1.0,2015-12-01,Oct-2017
49,Charged Off,,15.0,,,36.0,15705.64,13950.0,13950.0,1.0,2015-12-01,Feb-2019
50,Charged Off,,33.0,,,,20039.28,35000.0,35000.0,3.0,2015-12-01,Jul-2017
51,Fully Paid,,5.0,,,62.0,6976.71,6925.0,6925.0,0.0,2015-12-01,Jan-2016
52,Fully Paid,,14.0,,,,36082.18380045951,30000.0,30000.0,2.0,2015-12-01,Aug-2017
53,Charged Off,,10.0,,,42.0,17653.74,24000.0,24000.0,2.0,2015-12-01,Dec-2018
54,Charged Off,,12.0,,,52.0,1229.56,10000.0,10000.0,4.0,2015-12-01,
55,Fully Paid,,13.0,,,5.0,5506.219543315,4800.0,4800.0,1.0,2015-12-01,Jan-2019
56,Fully Paid,,17.0,,,71.0,13756.393858292,12000.0,12000.0,0.0,2015-12-01,Dec-2018
57,Fully Paid,,10.0,,,73.0,3234.49,3000.0,3000.0,0.0,2015-12-01,Jul-2016
58,Current,,6.0,,,29.0,17685.45,20000.0,20000.0,0.0,2015-12-01,Mar-2019
59,Fully Paid,,11.0,,,11.0,8805.1651704771,8000.0,8000.0,0.0,2015-12-01,Nov-2018
60,Fully Paid,,10.0,,,,14103.8742843752,12000.0,12000.0,2.0,2015-12-01,Oct-2017
61,Charged Off,,12.0,,,,4724.31,7200.0,7200.0,0.0,2015-12-01,Oct-2016
62,Charged Off,,11.0,,,11.0,8871.37,18000.0,18000.0,1.0,2015-12-01,Jun-2017
63,Fully Paid,,13.0,,,,16157.0328864744,15000.0,15000.0,0.0,2015-12-01,Mar-2018
64,Fully Paid,,21.0,,,31.0,16993.011835881298,15700.0,15700.0,0.0,2015-12-01,Dec-2018
65,Fully Paid,,10.0,,,57.0,26998.0,25000.0,25000.0,0.0,2015-12-01,Nov-2016
66,Fully Paid,,8.0,,,33.0,6651.3396282885,5950.0,5950.0,0.0,2015-12-01,Mar-2017
67,Fully Paid,,23.0,,,,2871.0135615102004,2400.0,2400.0,2.0,2015-12-01,Mar-2018
68,Fully Paid,,17.0,,,56.0,7096.37,7000.0,7000.0,1.0,2015-12-01,Feb-2016
69,Charged Off,,13.0,,,,3933.49,5000.0,5000.0,0.0,2015-12-01,Dec-2017
70,Fully Paid,,8.0,,,,4098.459103813,3500.0,3500.0,1.0,2015-12-01,Dec-2018
71,Fully Paid,,15.0,,,,18283.87,16800.0,16800.0,0.0,2015-12-01,Aug-2016
72,Fully Paid,,12.0,,,,10818.7569089916,9600.0,9600.0,0.0,2015-12-01,Nov-2018
73,Fully Paid,,7.0,,,,7848.002509120501,7000.0,7000.0,1.0,2015-12-01,Jun-2018
74,Fully Paid,,10.0,,,,8716.681181308199,8000.0,8000.0,0.0,2015-12-01,Dec-2016
75,Fully Paid,,15.0,,,33.0,11933.087858463,10000.0,10000.0,4.0,2015-12-01,Oct-2017
76,Fully Paid,,7.0,,,38.0,28773.25,26400.0,26400.0,0.0,2015-12-01,Jun-2016
77,Charged Off,,11.0,,,,4292.94,6400.0,6400.0,2.0,2015-12-01,Aug-2017
78,Charged Off,,10.0,,,,4491.15,6000.0,6000.0,1.0,2015-12-01,Sep-2016
79,Fully Paid,,8.0,,,28.0,13499.53,12000.0,12000.0,0.0,2015-12-01,Sep-2016
80,Fully Paid,,6.0,,,46.0,25265.387489086206,21125.0,21125.0,0.0,2015-12-01,Sep-2017
81,Charged Off,,15.0,,,,7441.93,20000.0,20000.0,0.0,2015-12-01,Sep-2016
82,Fully Paid,,8.0,,,39.0,12823.724075507,10000.0,10000.0,4.0,2015-12-01,Dec-2018
83,Charged Off,,13.0,,,35.0,12551.74,23200.0,23200.0,1.0,2015-12-01,Aug-2017
84,Current,,9.0,,,,10538.69,11500.0,11500.0,0.0,2015-12-01,Mar-2019
85,Fully Paid,,7.0,,,40.0,6137.9047547523,5000.0,5000.0,0.0,2015-12-01,Jan-2019
86,Current,,11.0,,,45.0,10697.34,11900.0,11900.0,1.0,2015-12-01,Mar-2019
87,Charged Off,,8.0,,,,2898.77,15000.0,15000.0,1.0,2015-12-01,Jul-2016
88,Current,,3.0,,,,10447.12,11400.0,11400.0,0.0,2015-12-01,Mar-2019
89,Fully Paid,,15.0,,,54.0,17929.8447420068,14400.0,14400.0,2.0,2015-12-01,Sep-2017
90,Current,,15.0,,,,13432.14,16000.0,16000.0,1.0,2015-12-01,Mar-2019
91,Fully Paid,,30.0,,,41.0,7529.6940736604,6400.0,6400.0,1.0,2015-12-01,Apr-2018
92,Fully Paid,,5.0,,,,17938.9766503451,14075.0,14075.0,0.0,2015-12-01,Dec-2018
93,Current,,16.0,,,58.0,27381.81,20000.0,20000.0,2.0,2015-12-01,Mar-2019
94,Charged Off,,7.0,,,,18401.13,28000.0,28000.0,1.0,2015-12-01,May-2017
95,Current,,9.0,,,,17804.85,20000.0,20000.0,0.0,2015-12-01,Mar-2019
96,Fully Paid,,4.0,,,33.0,9522.6924702963,7325.0,7325.0,0.0,2015-12-01,Oct-2018
97,Fully Paid,,16.0,,,21.0,7585.806072486999,7000.0,7000.0,0.0,2015-12-01,Dec-2018
98,Fully Paid,,6.0,,,25.0,11518.0401346773,10000.0,10000.0,0.0,2015-12-01,Jan-2019
99,Fully Paid,,9.0,,,,3612.9643275423,3000.0,3000.0,0.0,2015-12-01,Dec-2017
100,Fully Paid,,23.0,,,30.0,6402.9178946426,5650.0,5650.0,1.0,2015-12-01,Dec-2018
101,Current,,15.0,,,,15693.96,20000.0,20000.0,0.0,2015-12-01,Mar-2019
102,Fully Paid,,5.0,,,8.0,13691.45,12475.0,12475.0,0.0,2015-12-01,Sep-2016
103,Fully Paid,,17.0,,,41.0,26281.358328669103,24000.0,24000.0,0.0,2015-12-01,Sep-2017
104,Fully Paid,,18.0,,,,26889.262828418,20800.0,20800.0,1.0,2015-12-01,Dec-2018
105,Fully Paid,,7.0,,,62.0,5066.283963292,4500.0,4500.0,0.0,2015-12-01,Dec-2018
106,Current,,16.0,,,,34604.17,35000.0,35000.0,3.0,2015-12-01,Mar-2019
107,Fully Paid,,10.0,,,,31234.6659574189,28000.0,28000.0,0.0,2015-12-01,Jan-2019
108,Fully Paid,,15.0,,,20.0,31343.1414883237,28000.0,28000.0,0.0,2015-12-01,Apr-2018
109,Fully Paid,,11.0,,,,21105.51,21000.0,21000.0,2.0,2015-12-01,Feb-2016
110,Fully Paid,,7.0,,,,13624.9230550106,12000.0,12000.0,0.0,2015-12-01,May-2017
111,Fully Paid,,10.0,,,39.0,11377.426041349,9600.0,9600.0,2.0,2015-12-01,Jan-2019
112,Fully Paid,,8.0,,,,23573.5497534819,17600.0,17600.0,0.0,2015-12-01,Feb-2019
113,Fully Paid,,14.0,,,,13109.5868333458,12000.0,12000.0,1.0,2015-12-01,Sep-2017
114,Fully Paid,,10.0,,,,15092.573913183998,15000.0,15000.0,1.0,2015-12-01,Apr-2016
115,Fully Paid,,24.0,,,72.0,25740.723534413,24000.0,24000.0,2.0,2015-12-01,May-2017
116,Charged Off,,8.0,,,,4986.78,16450.0,16450.0,0.0,2015-12-01,Sep-2016
117,Fully Paid,,8.0,,,,14083.7312785502,12000.0,12000.0,1.0,2015-12-01,Jan-2019
118,Fully Paid,,6.0,,,,13303.519559574,12000.0,12000.0,0.0,2015-12-01,Oct-2018
119,Fully Paid,,16.0,,,63.0,10609.22,10000.0,10000.0,1.0,2015-12-01,Aug-2016
120,Fully Paid,,7.0,,,25.0,20760.5374210144,18000.0,18000.0,0.0,2015-12-01,May-2017
121,Current,,16.0,,,,19020.16,21150.0,21150.0,0.0,2015-12-01,Mar-2019
122,Fully Paid,,31.0,,,47.0,10946.4800408653,10250.0,10250.0,1.0,2015-12-01,Jan-2017
123,Fully Paid,,6.0,,,27.0,6882.75063507,6000.0,6000.0,0.0,2015-12-01,Dec-2018
124,Fully Paid,,41.0,,,,21408.418952931,19200.0,19200.0,2.0,2015-12-01,Oct-2018
125,Fully Paid,,5.0,,,,27465.31447649,25000.0,25000.0,0.0,2015-12-01,Jan-2018
126,Fully Paid,,15.0,,,42.0,4381.71,4000.0,4000.0,0.0,2015-12-01,Oct-2016
127,Fully Paid,,15.0,,,,14898.17,14000.0,14000.0,2.0,2015-12-01,Aug-2016
128,Fully Paid,,14.0,,,71.0,15252.6809392207,13000.0,13000.0,1.0,2015-12-01,Jan-2019
129,Charged Off,,8.0,,,,8050.29,12000.0,12000.0,1.0,2015-12-01,Jul-2016
130,Fully Paid,,12.0,,,39.0,16912.201300007,15000.0,15000.0,0.0,2015-12-01,Nov-2018
131,Fully Paid,,14.0,,,16.0,17337.2811535949,16000.0,16000.0,0.0,2015-12-01,Jan-2019
132,Fully Paid,,15.0,,,25.0,6758.988240096999,6000.0,6000.0,0.0,2015-12-01,Dec-2018
133,Fully Paid,,19.0,,,,17347.2245863101,15000.0,15000.0,0.0,2015-12-01,Dec-2018
134,Fully Paid,,6.0,,,,11948.739214213,10000.0,10000.0,1.0,2015-12-01,Dec-2018
135,Current,,21.0,,,,23018.5,23800.0,23800.0,1.0,2015-12-01,Mar-2019
136,Fully Paid,,11.0,,,,10566.28,10000.0,10000.0,0.0,2015-12-01,Jul-2016
137,Fully Paid,,19.0,,,32.0,23506.736958128706,21000.0,21000.0,1.0,2015-12-01,Feb-2017
138,Fully Paid,,12.0,,,,27435.6108840681,25000.0,25000.0,0.0,2015-12-01,Mar-2017
139,Fully Paid,,9.0,,,8.0,11236.3230425891,9600.0,9600.0,0.0,2015-12-01,Sep-2018
140,Fully Paid,,13.0,,,35.0,9366.6116521074,8000.0,8000.0,0.0,2015-12-01,Jul-2017
141,Fully Paid,,5.0,,,67.0,9214.5629582733,8000.0,8000.0,0.0,2015-12-01,Jul-2017
142,Current,,19.0,,,7.0,12808.6,14675.0,14675.0,0.0,2015-12-01,Mar-2019
143,Fully Paid,,9.0,,,,21382.7089848211,19000.0,19000.0,1.0,2015-12-01,Dec-2018
144,Charged Off,,9.0,,,28.0,6003.76,24000.0,24000.0,2.0,2015-12-01,May-2016
145,Fully Paid,,10.0,,,,10192.5400015485,9725.0,9725.0,3.0,2015-12-01,Apr-2016
146,Fully Paid,,9.0,,,71.0,5735.5400704559,5000.0,5000.0,1.0,2015-12-01,Apr-2018
147,Charged Off,,10.0,,,,6933.55,18650.0,18650.0,0.0,2015-12-01,Mar-2017
148,Fully Paid,,10.0,,,,20954.6424640525,19025.0,19025.0,1.0,2015-12-01,Aug-2017
149,Fully Paid,,23.0,,,,14453.769974704,12000.0,12000.0,0.0,2015-12-01,Dec-2018
150,Fully Paid,,10.0,,,44.0,19771.459218726,18000.0,18000.0,0.0,2015-12-01,Dec-2018
151,Current,,19.0,,,,26805.83,33000.0,33000.0,1.0,2015-12-01,Mar-2019
152,Fully Paid,,14.0,,,,43631.9281470797,31450.0,31450.0,1.0,2015-12-01,Jun-2017
153,Fully Paid,,10.0,,,52.0,16987.066937975,15000.0,15000.0,0.0,2015-12-01,Oct-2017
154,Fully Paid,,8.0,,,,6110.83993092,5000.0,5000.0,2.0,2015-12-01,Dec-2018
155,Fully Paid,,16.0,,,14.0,3006.2532494879,2500.0,2500.0,2.0,2015-12-01,Jan-2019
156,Fully Paid,,13.0,,,,16634.2202416924,15000.0,15000.0,0.0,2015-12-01,Oct-2018
157,Fully Paid,,16.0,,,9.0,22758.7845167189,21000.0,21000.0,1.0,2015-12-01,Aug-2017
158,Fully Paid,,10.0,,,11.0,32227.3758646135,25000.0,25000.0,1.0,2015-12-01,May-2018
159,Charged Off,,17.0,,,28.0,9989.55,20575.0,20575.0,1.0,2015-12-01,Aug-2017
160,Fully Paid,,16.0,,,,25659.3071515162,19050.0,19050.0,0.0,2015-12-01,Oct-2018
161,Fully Paid,,15.0,,,20.0,8255.6643152554,7200.0,7200.0,0.0,2015-12-01,Dec-2018
162,Fully Paid,,6.0,,,14.0,5513.2427213398,5000.0,5000.0,0.0,2015-12-01,Apr-2017
163,Charged Off,,12.0,,,14.0,5111.91,12000.0,12000.0,0.0,2015-12-01,Dec-2016
164,Fully Paid,,11.0,,,,11814.3624036134,10000.0,10000.0,0.0,2015-12-01,Jan-2019
165,Fully Paid,,10.0,,,36.0,3959.5850734644,3450.0,3450.0,0.0,2015-12-01,Apr-2017
166,Fully Paid,,7.0,,,,1584.74,1475.0,1475.0,0.0,2015-12-01,Aug-2016
167,Charged Off,,16.0,,,47.0,3226.7,6150.0,6150.0,0.0,2015-12-01,Jan-2017
168,Fully Paid,,10.0,,,,7982.264780164101,7000.0,7000.0,1.0,2015-12-01,Sep-2017
169,Charged Off,,17.0,,,34.0,18688.78,18000.0,18000.0,1.0,2015-12-01,Aug-2018
170,Fully Paid,,9.0,,,,2026.4164090442,1800.0,1800.0,0.0,2015-12-01,Feb-2017
171,Fully Paid,,10.0,,,19.0,4470.3189157206,4000.0,4000.0,1.0,2015-12-01,Mar-2018
172,Fully Paid,,7.0,,,,7712.5,7500.0,7500.0,0.0,2015-12-01,Mar-2016
173,Fully Paid,,7.0,,,,30821.4635833036,24000.0,24000.0,3.0,2015-12-01,Nov-2018
174,Current,,8.0,,,,8643.66,10000.0,10000.0,1.0,2015-12-01,Feb-2019
175,Charged Off,,10.0,,,77.0,5514.01,6000.0,6000.0,2.0,2015-12-01,Feb-2018
176,Current,,4.0,,,39.0,9726.01,10925.0,10925.0,0.0,2015-12-01,Mar-2019
177,Fully Paid,,11.0,,,,11941.4827826974,10000.0,10000.0,0.0,2015-12-01,Dec-2018
178,Fully Paid,,21.0,,,63.0,21489.5575099827,18000.0,18000.0,1.0,2015-12-01,Apr-2018
179,Fully Paid,,10.0,,,,24840.9228666478,20000.0,20000.0,1.0,2015-12-01,Jun-2017
180,Charged Off,,24.0,,,81.0,19695.79,20000.0,20000.0,0.0,2015-12-01,Jun-2018
181,Fully Paid,,5.0,,,,24132.3460307436,22275.0,22275.0,0.0,2015-12-01,Dec-2018
182,Fully Paid,,5.0,,,33.0,10834.410490991,10000.0,10000.0,0.0,2015-12-01,Jan-2017
183,Fully Paid,,12.0,,,26.0,29630.47,26675.0,26675.0,0.0,2015-12-01,Nov-2016
184,Fully Paid,,20.0,,,49.0,10999.2216124915,10000.0,10000.0,0.0,2015-12-01,Feb-2018
185,Charged Off,,14.0,,,,7005.38,10925.0,10925.0,1.0,2015-12-01,Apr-2017
186,Charged Off,,18.0,,,26.0,5427.9,10000.0,10000.0,0.0,2015-12-01,Nov-2016
187,Fully Paid,,12.0,,,12.0,22679.29964938,20000.0,20000.0,0.0,2015-12-01,Dec-2018
188,Fully Paid,,18.0,,,,5256.217172742,5000.0,5000.0,0.0,2015-12-01,Feb-2017
189,Fully Paid,,13.0,,,,16961.944994551202,16000.0,16000.0,0.0,2015-12-01,Jun-2017
190,Charged Off,,10.0,,,,5811.67,12000.0,12000.0,0.0,2015-12-01,Sep-2017
191,Fully Paid,,13.0,,,,5646.3336453525,5000.0,5000.0,0.0,2015-12-01,Jun-2017
192,Fully Paid,,10.0,,,9.0,13467.6084478495,12000.0,12000.0,0.0,2015-12-01,Jun-2018
193,Fully Paid,,10.0,,,5.0,40645.8523213062,35000.0,35000.0,0.0,2015-12-01,Dec-2017
194,Fully Paid,,23.0,,,76.0,13312.7085247632,12000.0,12000.0,0.0,2015-12-01,Dec-2018
195,Charged Off,,18.0,,,41.0,10434.3,12000.0,12000.0,0.0,2015-12-01,Jan-2018
196,Charged Off,,9.0,,,24.0,2882.09,10000.0,10000.0,0.0,2015-12-01,Oct-2016
197,Fully Paid,,13.0,,,,26449.28,24000.0,24000.0,0.0,2015-12-01,Sep-2016
198,Current,,8.0,,,62.0,13501.73,15000.0,15000.0,1.0,2015-12-01,Mar-2019
199,Current,,8.0,,,52.0,11412.35,11400.0,11400.0,0.0,2015-12-01,Mar-2019
200,Fully Paid,,9.0,,,41.0,13185.144404587,12000.0,12000.0,0.0,2015-12-01,Dec-2018
201,Fully Paid,,8.0,,,23.0,11148.4839574975,10000.0,10000.0,0.0,2015-12-01,Dec-2018
202,Current,,17.0,,,43.0,23519.67,28000.0,28000.0,0.0,2015-12-01,Mar-2019
203,Fully Paid,,6.0,,,10.0,13810.5296971356,12000.0,12000.0,0.0,2015-12-01,Sep-2017
204,Fully Paid,,13.0,,,,29168.938978477203,27000.0,27000.0,0.0,2015-12-01,May-2018
205,Fully Paid,,25.0,,,,17236.2778104644,15000.0,15000.0,0.0,2015-12-01,Nov-2017
206,Fully Paid,,10.0,,,6.0,1274.5217463135,1000.0,1000.0,3.0,2015-12-01,Dec-2018
207,Fully Paid,,7.0,,,,9722.95281679,8000.0,8000.0,0.0,2015-12-01,Dec-2018
208,Fully Paid,,14.0,,,75.0,13674.3519587102,12025.0,12025.0,1.0,2015-12-01,Feb-2017
209,Fully Paid,,6.0,,,,18879.71,18850.0,18850.0,0.0,2015-12-01,Dec-2015
210,Charged Off,,27.0,,,53.0,16343.07,24150.0,24150.0,0.0,2015-12-01,Jun-2017
211,Fully Paid,,9.0,,,20.0,8315.2200013589,7600.0,7600.0,2.0,2015-12-01,Oct-2016
212,Charged Off,,16.0,,,10.0,12180.36,16000.0,16000.0,1.0,2015-12-01,Feb-2017
213,Fully Paid,,23.0,,,2.0,6803.75474532,6000.0,6000.0,1.0,2015-12-01,Dec-2018
214,Fully Paid,,13.0,,,,24479.019999999,24000.0,24000.0,0.0,2015-12-01,Jan-2016
215,Charged Off,,6.0,,,,4308.24,15000.0,15000.0,0.0,2015-12-01,Dec-2016
216,Fully Paid,,6.0,,,,10020.332363952,9000.0,9000.0,0.0,2015-12-01,Jan-2018
217,Fully Paid,,8.0,,,44.0,9812.161057232,9000.0,9000.0,0.0,2015-12-01,Feb-2017
218,Charged Off,,13.0,,,,10228.18,10000.0,10000.0,2.0,2015-12-01,Jun-2018
219,Fully Paid,,22.0,,,16.0,15385.0893982392,14000.0,14000.0,0.0,2015-12-01,Jan-2017
220,Fully Paid,,16.0,,,,13252.2665531932,12500.0,12500.0,0.0,2015-12-01,May-2017
221,Fully Paid,,10.0,,,,7637.316632289,6000.0,6000.0,2.0,2015-12-01,Aug-2018
222,Fully Paid,,9.0,,,17.0,39721.8600024404,35000.0,35000.0,0.0,2015-12-01,Aug-2016
223,Fully Paid,,10.0,,,28.0,6864.52,6500.0,6500.0,0.0,2015-12-01,Sep-2016
224,Fully Paid,,9.0,,,,21073.6459892003,20000.0,20000.0,0.0,2015-12-01,Mar-2017
225,Fully Paid,,12.0,,,,5431.8,5000.0,5000.0,0.0,2015-12-01,Nov-2016
226,Charged Off,,14.0,,,35.0,2919.54,4000.0,4000.0,0.0,2015-12-01,Oct-2017
227,Fully Paid,,18.0,,,46.0,16511.338629963,14400.0,14400.0,0.0,2015-12-01,Dec-2018
228,Fully Paid,,17.0,,,,14857.2071803077,11525.0,11525.0,1.0,2015-12-01,Oct-2018
229,Fully Paid,,12.0,,,17.0,14802.967212393,12800.0,12800.0,0.0,2015-12-01,Dec-2018
230,Fully Paid,,7.0,,,52.0,8075.77,8000.0,8000.0,0.0,2015-12-01,Jan-2016
231,Current,,4.0,,,,14401.08,16000.0,16000.0,1.0,2015-12-01,Mar-2019
232,Fully Paid,,9.0,,,47.0,4938.3257602449,4000.0,4000.0,1.0,2015-12-01,Oct-2018
233,Fully Paid,,29.0,,,9.0,26467.940001810097,24000.0,24000.0,5.0,2015-12-01,Nov-2016
234,Fully Paid,,15.0,,,,22121.608517695,18000.0,18000.0,0.0,2015-12-01,Apr-2018
235,Charged Off,,9.0,,,39.0,5005.19,16650.0,16650.0,0.0,2015-12-01,Jul-2016
236,Fully Paid,,12.0,,,,5667.492412342,5000.0,5000.0,0.0,2015-12-01,Dec-2018
237,Fully Paid,,6.0,,,48.0,23641.9922566621,20000.0,20000.0,0.0,2015-12-01,Jan-2019
238,Fully Paid,,21.0,,,,3663.1936861436,2800.0,2800.0,4.0,2015-12-01,Dec-2018
239,Fully Paid,,10.0,,,20.0,10511.4700000025,10000.0,10000.0,1.0,2015-12-01,May-2016
240,Fully Paid,,9.0,,,31.0,21024.1018369842,20000.0,20000.0,0.0,2015-12-01,Jan-2017
241,Charged Off,,14.0,,,6.0,11757.68,15000.0,15000.0,0.0,2015-12-01,Jul-2018
242,Fully Paid,,13.0,,,10.0,11747.1372566689,10000.0,10000.0,1.0,2015-12-01,Dec-2018
243,Fully Paid,,11.0,,,37.0,1171.7488967064,1000.0,1000.0,0.0,2015-12-01,Feb-2017
244,Charged Off,,15.0,,,,26355.61,35000.0,35000.0,1.0,2015-12-01,Aug-2018
245,Current,,11.0,,,24.0,14355.54,14375.0,14375.0,2.0,2015-12-01,Mar-2019
246,Fully Paid,,19.0,,,,7380.98470598,7000.0,7000.0,4.0,2015-12-01,Aug-2016
247,Fully Paid,,29.0,,,,16261.5805286755,15000.0,15000.0,0.0,2015-12-01,Nov-2018
248,Fully Paid,,13.0,,,75.0,18674.1839025201,15000.0,15000.0,1.0,2015-12-01,Oct-2017
249,Fully Paid,,30.0,,,15.0,31639.430007375497,24000.0,24000.0,5.0,2015-12-01,Mar-2018
250,Fully Paid,,18.0,,,,5001.5860919355,4400.0,4400.0,1.0,2015-12-01,Apr-2018
251,Charged Off,,28.0,,,53.0,15287.85,16000.0,16000.0,0.0,2015-12-01,Nov-2018
252,Fully Paid,,6.0,,,,13894.8566607617,9600.0,9600.0,3.0,2015-12-01,Dec-2018
253,Fully Paid,,9.0,,,23.0,13877.763150108998,12000.0,12000.0,0.0,2015-12-01,Dec-2018
254,Fully Paid,,6.0,,,54.0,17233.554008934,15000.0,15000.0,0.0,2015-12-01,Nov-2018
255,Current,,24.0,,,41.0,17353.47,20000.0,20000.0,1.0,2015-12-01,Mar-2019
256,Fully Paid,,10.0,,,32.0,13762.147859754,12000.0,12000.0,1.0,2015-12-01,Sep-2018
257,Fully Paid,,7.0,,,,38925.9540955777,30000.0,30000.0,0.0,2015-12-01,Nov-2018
258,Fully Paid,,5.0,,,,2144.36,2000.0,2000.0,0.0,2015-12-01,Sep-2016
259,Current,,32.0,,,,11214.18,12000.0,12000.0,0.0,2015-12-01,Mar-2019
260,Current,,13.0,,,,15156.23,14000.0,14000.0,1.0,2015-12-01,Mar-2019
261,Fully Paid,,15.0,,,,15169.5607744126,14000.0,14000.0,0.0,2015-12-01,Dec-2018
262,Current,,6.0,,,,19750.87,24000.0,24000.0,0.0,2015-12-01,Mar-2019
263,Current,,17.0,,,10.0,23194.54,27600.0,27600.0,0.0,2015-12-01,Mar-2019
